Fecha,ID,Dirección,Tipo,SubTipo,Relato,Partido asignado,Localidad asignada,Latitud,Longitud,RESULTADO,Comentario Cierre Supervisor,Latitud_Clean,Longitud_Clean,Año,Mes,Mes_Nombre,Dia,Hora,Dia_Semana_Num,Dia_Semana,Es_FinDeSemana,Franja_Horaria,Patentes_Extraidas,Patente_Principal,Marca_Detectada,Origen_Dataset
2026-01-01 08:37:00,10015637809,FRAGATA ITATI al 3805,DISPAROS,DISPAROS," REFIERE QUE HAY UN MASCULINO DE CAMPERA NEGRA, CON MANGAS BEIGE, QUE ESTA REALIZANDO DETONACIONES DE ARMA DE FUEGO AL AIRE , NO HAY NADIE HERIDO .- AENAZO A UNA FEMENINA QUE YA SE FUE .-  ",GENERAL PUEYRREDON,MAR DEL PLATA,-38068977807912.0,-57576428404804.0,POSITIVO,"30549 ENTREVISTA EN NUMERAL 3803 DE FRAGATA LIBERTAD__ROMANO JUAREZ ALANIS NICOLE, 22 AÑOS. REFIERE QUE__SRA MALENA VARELA CONFRONTA CN ELLA__NEGATIVO DETONACIONES. SE LE INDICAN PASOS A SEGUIR.",-38.068977807912,-57.576428404804,2026,1,January,1,8,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-01 10:57:00,10015638355,BERUTI al 8720,VIOLENCIA,NO FAMILIAR,"LLAMANTE REFIERE QUE SE PELEAN 4 O 5 , SON SUS NIETOS Y LOS VECINOS , UNO CON ARMA DE FUEGO, NO VE HERIDOS, NO RESPONDE AL OPERADOR ",GENERAL PUEYRREDON,MAR DEL PLATA,-37956213649706.0,-57598608328643.0,NEGATIVO,"MARINAO JUAN, DISCUSION VECINAL NEGATIVO AL ARRIBO DEL MOVIL",-37.956213649706,-57.598608328643,2026,1,January,1,10,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-01 11:05:00,10015638389,BERUTI y Av Dr Alio,PEDIDO GENERICO DE AUXILIO,PGA,"CORSA GRIS TRASLADA HERIDO DE ARMA DE FUEGO, MORENO Y 180, TRASLADA TOBILLO DERECHO LUCIDO Y CONSCIENTE , VICTIMA DE ROBO ",GENERAL PUEYRREDON,MAR DEL PLATA,-379629180899.0,-575853692661.0,POSITIVO,"DTO HIGA SGTO CERAÑO 30884 A CARGO OSA PINTOS CASANDRA, ACOMPAÑAMIENTO DE ALIO Y BERUTI EL HECHO OCURRIO EN BERUTI  Y ERREA. REFIERE TENTAIVA DE ROBO EL MASCULINO SR MARTINEZ CATRIEL EMILIANO (27) LUCIDO CONCIENTE INGRESA",-37.9629180899,-57.5853692661,2026,1,January,1,11,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-01 21:04:00,10015641274,PERU al 2829,CARTA ORIGINAL,CON PRIORIDAD,"LLAMANTE DICE QUE HAY UNA MUJER QUE VENDE DROGAS Y ESTA ROMPIENDO LA CASA DE SUS VECINOS. SE LLAMA SOL, NO SABE EL APELLIDO, VENDE COCAINA Y MARIGUANA, AHORA ESTA CON UN ARMA DE FUEGO Y CORTANTE, SIN HERIDOS. LOS VECINOS ESTAN ENCERRADOS EN LA CASA AL FONDO, EL HOMBRE SE LLAMA ERIC Y ESTA CON SU MADRE.  ",GENERAL PUEYRREDON,MAR DEL PLATA,-379932036839.0,-575844629593.0,VSup,0,-37.9932036839,-57.5844629593,2026,1,January,1,21,3,Jueves,False,Noche (18-24),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-02 20:30:00,10015646249,EDUARDO PERALTA RAMOS y Williams Morris,VIOLENCIA,NO FAMILIAR,"LLAMANTE REFIERE QUE ESTAN PELEANDO APROX 20 PERSONAS, INDICA QUE UNO SACO UN ARMA DE FUEGO. NO EFECTUÓ DISPAROS",GENERAL PUEYRREDON,,-380214439985.0,-576163079992.0,NEGATIVO,"MOVIL 30514 INF AMPLIA RECORRIDA POR LA ZONA NORMAL , NEGATIVO CONFRONTACION Y NEGATIVO ENTREVISTA ",-38.0214439985,-57.6163079992,2026,1,January,2,20,4,Viernes,False,Noche (18-24),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-03 16:21:00,10015650442,AZOPARDO al 5253,DISPAROS,DISPAROS,"LLAMANTE REFIERE QUE HAY UN MASCULINO DE CAMPERA MARRON QUE PORTA UN ARMA DE FUEGO QUE DISPARA AL AIRE, Y AGREDE A OTRA PERSONA __NO HAY HERIDOS ",GENERAL PUEYRREDON,MAR DEL PLATA,-38036166806582.0,-57570814795928.0,NEGATIVO,30506 RECORRIDA NORMAL NEG EMERGENCIA,-38.036166806582,-57.570814795928,2026,1,January,3,16,5,Sábado,True,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-03 19:43:00,10015651381,GAMAL NASSER y 11 De Septiembre,ROBO,VÍA PÚBLICA,LLAMANTE REFIERE QUE DOS MASCULINOS CON VISERA EN MOTO INTENTARON ASALTAR A UNA FEMENINA__TIPO GILERA 110 COLOR GRIS O DE BAJA CILINDRADA - AMBOS JOVENES DE NO MÁS DE 30 AÑOS __CREE QUE SIGUEN POR EL BARRIO - TIENEN CAMPERAS DEPORTIVAS Y PANTALONES LARGOS  __SE PUUSO LA MANO BAJO EL PANTALÓN PERO NO LLEGA A EXHIBIR ARMA DE FUEGO - NO HAY HERIDOS __SE VAN POR 3 DE FEBRERO PARA EL LADO DE AV 180,GENERAL PUEYRREDON,,-379748229985.0,-575864419992.0,NEGATIVO,30151 A LA RECORRIDA NEGATIVO ,-37.9748229985,-57.5864419992,2026,1,January,3,19,5,Sábado,True,Noche (18-24),[],,GILERA,ARMA_FUEGO
2026-01-03 23:02:00,10015652316,AV COLON al 2735,PEDIDO GENERICO DE AUXILIO,PGA,LLAMANTE REFIERE QUE ES DRA. LAI  Y QUERIA INFORMAR QUE ACABA DE INGRESAR UNA FEMENINA CON UNA HERIDA DE ARMA DE FUEGO EN EL TOBILLO DERECHO. LA MUJER SE LLAMA  FIGUEREDO MARGARITA  AYLEN DE 25 AÑOS DNI  42.782.314. ,GENERAL PUEYRREDON,MAR DEL PLATA,-380026.0,-575514.0,V ACC-MC,0,-38.0026,-57.5514,2026,1,January,3,23,5,Sábado,True,Noche (18-24),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-04 00:00:00,10015652551,AV COLON al 2749,PEDIDO GENERICO DE AUXILIO,PGA,"LLAMANTE REFIERE QUE  HACE  UNA HORA INGRESO UNA PACIENTE FIGUEREDO MARGARITA AILEN DE 25 AÑOS  CON HERIDA DE ARMA DE FUEGO ,  YA FUE EL PERSONAL POLICIAL AHORA QUIEREN INFORMAR QUE LA MISMA ESTA ESTABLE Y QUE YA LOGRARON EXTRAER EL PROYECTIL PARA QUE EL PERSONAL POLICIAL LO RETIRE EL MISMO AL RESGUARDO EN LA  OFICINA DE SUPERVISOR DE ENFERMERIA 3 ER PISO ",GENERAL PUEYRREDON,MAR DEL PLATA,-38002733039223.0,-5755163059552.0,POSITIVO,CERRITO Y LA 69 SE LE ACERCA A LA FEMENINA UNA MOTO CUANDO ELLA CIRCULA EN SU MOTO EN ESE MOMENTO SIENTE UN GOLPE COMO UN PIEDRASO EN EL TOBILLO MISMA SE VA DEL LUGAR HASTA UN LUGAR TRANQUILO DONDE VIO LA HERIDA Y SE DIRIGIO A LA CLINICA,-38.002733039223,-57.55163059552,2026,1,January,4,0,6,Domingo,True,Madrugada (00-06),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
2026-01-04 07:42:00,10015653874,ESTEBAN GASCON al 7629,VIOLENCIA,POR RAZONES DE GENERO,LLAMANTE REFIERE QUE EL EX MARIDO DE SU SOBRINA  QUIEN TIENE RESTRICCION DE NOMBRE SEBASTIAN ESTA  ARMADO DENTRO  DE LA CASA LE QUIERE PEGAR AL HIJO Y A LA MUJER . EL MISMO LLEGO CON UNA HERIDA DE ARMA DE FUEGO EN LA CABEZA ,GENERAL PUEYRREDON,MAR DEL PLATA,-37980282410957.0,-57602740056363.0,V ACC-MC,0,-37.980282410957,-57.602740056363,2026,1,January,4,7,6,Domingo,True,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,ARMA_FUEGO
