ID_Robo,Fecha_Robo,Patente_Principal,SubTipo,Dirección_Robo,Latitud_Clean_Robo,Longitud_Clean_Robo,Marca_Detectada,Relato_Robo,ID_Hallazgo,Fecha_Hallazgo,Dirección_Hallazgo,Latitud_Clean_Hallazgo,Longitud_Clean_Hallazgo,Relato_Hallazgo,Horas_Hasta_Hallazgo,Dias_Hasta_Hallazgo
10015637623,2026-01-01 08:00:00,A159WMZ,MOTOS,EDUARDO CARASA al 6622,-38.031033832444,-57.587928536789,HONDA,"REFIERE QUE HUBO UN ROBO DE UNA MOTO, MOTOVEHICUO HONDA GLA 150 COLOR NEGRA, PATENTE A159WMZ __ERAN DOS EN UN ROUSER 200 NEGRO, ARMADOS , ERAN DOS MASCULINOS UNO DE NEGRO EL OTRO DE CAMPERA ROJA, AMBOS SIN CASCO. EL LLATE NO ESTA HERIDO ..-  ",52999402,2026-01-01 09:47:00,TRIPULANTES DEL FOURNIER y Rep De Cuba,-38.0219039985,-57.5949079992,"STOP CAR __MOTO ROBADA A MANO ARMADA  SE ENCUENTRA EN EL LUGAR, HONDA GLH COLOR NEGRA , PATENTE A159WMZ [Id.Remoto: 52999402]",1.7833333333333334,0.07430555555555556
10015652064,2026-01-03 22:07:00,AC750EF,VEHÍCULOS,FALUCHO al 75,-38.01789117299,-57.526155475845,TOYOTA,LLAMANTE REFIERE QUE FUERON A BUSCAR EL AUTO Y NOTARON QUE SE LO ROBARON. ES UN  TOYOTA COROLLA COLOR BLANCO PTTE  AC750EF. DESCONOCE AUTORES __EL AUTO SE LO ROBARON DE CALLE GASCON Y ARISTOBULO DEL VALLE ,10015692037,2026-01-11 21:56:00,SICIALIA  y Vertis ,,,MOVIL 30504 PROCEDE A IDENTIFICAR UN AUTOMOVIL COROLLA BLANCO DOMNIO AA028 FJ ESTE DOMNIO SIN IMPEDIMENTO LEGAL EN SUS VIDRIOS POSEE UN GRAVADO DE DOMNIO  AC750EF  ESTE SI POSEE IMPEDIMENTO DEL DIA 4_1 _ 26 DE CRIA 9NA POR ROBO QUEDA MORADO caratula encubrimiento  POR FISCALIA FLAGANCIA DOC DE LA CANELA y TRASLADO DEL MASCULINO EL SR LOVER hector abel de 30 añod domiciliado en gianelle 4030 dni 38704185 ,191.81666666666666,7.992361111111111
10015684727,2026-01-10 16:56:00,A132NRQ,MOTOS,AV INDEPENDENCIA y Av Colon,-38.0012523867,-57.556911611,OTRA / NO ESPECIFICADA,LLAMANTE REFIERE QUE LE ROBARON UNA MOTO ROUSER 200 COLOR NEGRO PATENTE A132NRQ. SE LA ROBARON EN LA VI LA PUBLICA. NO SABE CUANTOS ERAN. NO HAY HERIDOS. ,10015699110,2026-01-13 09:15:00,AV 10 DE FEBRERO,,,"CARGA INVERSA  SUBTTE ORELLANA LUIS. SOLICITA MOVIL EN LA__MORGUE . EN EL LUGAR SE HALLAN__2 MOTOS PRENDIDAS FUEGO, APARENTEMENTE CN SECUESTRO ACTIVO, UNA DE ELLAS UNA ROUSER 200, DOMINIO  A132NRQ,__MOTOR JLXCLE60726 Y LA OTRA UNA__SUZUKI , CON NUMERACION ILEGIBLE.__",64.31666666666666,2.679861111111111
10015728704,2026-01-18 21:39:00,JFO621,VEHÍCULOS,CASILDO VILLAR al 2634,-38.036273309679,-57.593869184662,OTRA / NO ESPECIFICADA,"LLAMANTE REFIERE QUE LE ROBRON EL AUTO A SU VECIINO, DOS MASCULINOS EN UNA MOTO, ARMADOS__SE FUERON POR GUTEMBERG, MUCHO HUMO EN LA MOTO__ES UN CLIO NEGRO, PATENTE JFO621",10015728856,2026-01-18 22:19:00,BENITO LYNCH al 762,-38.077607134111,-57.546489114181,LLAMANTE REFIERE QUE DEJAN UN AUTO AFUERA DEL LUGAR. ES CLIO NEGRO DOMINIO JFO621,0.6666666666666666,0.027777777777777776
10015732576,2026-01-19 17:59:00,A076XGO,MOTOS,GENOVA al 5259,-38.043677680488,-57.580006147678,CORVEN,"REFIERE QUE UNA FEMENINA SE ROBO LA MOTO DE HIJO,  ES CORVEN 110 CC  COLOR ROJO Y NEGRA, PATENTE  A076XGO. NO HAY HERIDOS.-  ",10015732863,2026-01-19 19:05:00,GENOVA al 5241,-38.0437,-57.5797,"LLAMANTE REFIERE QUE LE ROBARON SU MOTO HOY AL MEDIODIA Y SE LA LLEVARON A SU DOMICILIO. LA ENCONTRARON EN GARCIA LORCA Y GIANELLI. ES UNA CORVEN COLOR ROJA PATENTE A076XGO, EN ESTE MOMENTO CON PLASTICOS NEGROS. LA TENIAN DOS O TRES PERSONAS, NO PUEDE APORTAR MAS DATOS. ",1.1,0.04583333333333334
10015745879,2026-01-22 09:57:00,783IUB,MOTOS,FALUCHO al 1957,-38.008357697883,-57.545066482379,HONDA,"LLAMANTE REFIERE QUE LE ROBARON LA MOTO DE LA VEREDA HONDA TITAN COLOR VERDE CO N NEGRO, DOMINIO 783IUB [Id.Remoto: 10015745879]",53443418,2026-01-22 18:56:00,LAUREANO BAUTISTA y Zeballos,-37.9415369984,-57.5528709992,"LLTE DE STOPCARON RECUPERO VEHICULAR REF__ MOTO HONDA CG 150 PTTE 783IUB COLOR VERDE, ES UNA MOTO ROBADA Y SE ENCUENTRA DENTRO DE UN DOMICILIO __",8.983333333333333,0.3743055555555555
10015755999,2026-01-24 04:20:00,A204AMP,MOTOS,VALENCIA y RIZZUTTO,-37.9519589985,-57.5817989992,MONDIAL,"CRIA 7MA , STTE OSORES,__VALENCIA Y AV ARTURO ALIO__PERSONAL POLICIAL INFORMA QUE SE HACE PRESENTE LA SR ESPI GONZALO , CON CONTACTO NRO  2235705755, EL RODADO SUSTRAIDO ES UN MOTO VEHICULO MONDIAL MAX LD 110CC , COLOR AZUL, DOMINIO COLOCADO A204AMP,  AÑO DE FABRICACION 2024, MODALIDAD DEL HECHO ROBO CALIFICADO 02NN.-__",10015757642,2026-01-24 12:57:00,VENEZUELA al 60,,,CRIA 6TA SGTO QUIROGA INFORMA QUE EN EL LUGAR HAY UN MOTOVEHICULO MONDIAL COLOR AZUL DOMINIO:  A204AMP LA MISMA CON PEDIDO DE SECUESTRO ACTIVO DE CRIA 7MA,8.616666666666667,0.3590277777777778
10015782936,2026-01-29 06:33:00,AA291GL,VEHÍCULOS,CNEL VIDAL al 2265,-38.029783306331,-57.596126010849,OTRA / NO ESPECIFICADA,"CRIA 16TA INFORMA QUE DEL LUGAR SUSTRAEN MODALIDAD HURTO VEHICULO REANULT KANGOO COLOR GRIS, DOMINIO AA291GL, VMA CRUZ LUCIA, TEL 223656003",10015782972,2026-01-29 07:03:00,GOÑI al 3185,-38.0252,-57.6178,"LLAMANTE REFIERE QUE QUE ES DE STRIX LOW JACK,  Y ACABA DE ENCONTRAR UN VEHICULO ROBADO ES UNA CAMIONETA KANGOO GRISS DOMINIO AA291GL",0.5,0.020833333333333332
10015782936,2026-01-29 06:33:00,AA291GL,VEHÍCULOS,CNEL VIDAL al 2265,-38.029783306331,-57.596126010849,OTRA / NO ESPECIFICADA,"CRIA 16TA INFORMA QUE DEL LUGAR SUSTRAEN MODALIDAD HURTO VEHICULO REANULT KANGOO COLOR GRIS, DOMINIO AA291GL, VMA CRUZ LUCIA, TEL 223656003",53580053,2026-01-29 08:02:00,AV MARIO BRAVO y Goñi,-38.0254029985,-57.6178259992,"STRIX. RECUPERO VEHICULAR. CAMIONETA RENAULT KAONGOO GRIS, AA291GL",1.4833333333333334,0.06180555555555556
10015787431,2026-01-30 01:57:00,BNT985,VEHÍCULOS,MATHEU y TRES ARROYOS,-37.9963279985,-57.5996509992,VOLKSWAGEN,"MOVIL RO 31251 , SGTO PODEROSO,__MATHEU Y ESTADO DE ISRAEL__PERSONAL POLICIAL INFORMA QUE SE HACE PRESENTE LA SR HERNANDEZ RUBEN , QUIEN APORTA NRO DE CONTACTO  2234225765, EL RODADO SUSTRAIDO ES UN  AUTOMOVIL VOLKSWAGEN POLO , COLOR GRIS, DOMINIO COLOCADO BNT985,  AÑO DE FABRICACION 1998, MODALIDAD DEL HECHO HURTO.-__ [Id.Remoto: 10015787431]",10015787919,2026-01-30 05:58:00,AV VERTIZ y Che Guevara,-37.9940179985,-57.6249199992,LLTE REF QUE DEJARON UN POLO GRIS DOMINIO BNT985 ESTA CHOCADO  . RUEDAS PINCHADAS  Y BIDON DE NAFTA AL COSTADO ,4.016666666666667,0.1673611111111111
