Fecha,ID,Dirección,Tipo,SubTipo,Relato,Partido asignado,Localidad asignada,Latitud,Longitud,RESULTADO,Comentario Cierre Supervisor,Latitud_Clean,Longitud_Clean,Año,Mes,Mes_Nombre,Dia,Hora,Dia_Semana_Num,Dia_Semana,Es_FinDeSemana,Franja_Horaria,Patentes_Extraidas,Patente_Principal,Marca_Detectada,Origen_Dataset
2026-08-05 23:31:00,10016459521,BALCARCE y España,DISPAROS,PERSONAS,"ESCUCHA UN TIROTEO EN EL LUGAR__HAY UNA UTO QUE FUE MARCHA ATRAS, ERA ANCSO , SE FUE SOBRE BALCARCE EN CONTRAMANO __VA SOBRE ESPAÑA DIRECCIÓN A LURO__HAY UN HOMBRE QUE SE VA, ESTÁ VESTIDO DE NEGRO__NO SABE SI HAY HEIRDOS ",GENERAL PUEYRREDON,MAR DEL PLATA,-379899589984.0,-575521299992.0,V ACC-MC,0,-37.9899589984,-57.5521299992,2026,8,August,5,23,2,Miércoles,False,Noche (18-24),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-05 22:25:00,10016459357,AZOPARDO y Reforma Universitaria,DISPAROS,PERSONAS,LLAMANTE REFIERE QUE SE ESTAN ENFRENTANDO CON ARMAS DE FUEGO.- SON DOS PERSONAS.- NO SABE SI HAY HERIDOS.. SE ESCUCHAN GRITOS.- ,GENERAL PUEYRREDON,MAR DEL PLATA,-380118309985.0,-576030909992.0,V ACC-MC,0,-38.0118309985,-57.6030909992,2026,8,August,5,22,2,Miércoles,False,Noche (18-24),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-05 16:44:00,10016458355,SABINO ARANA Y GOIRI al 8291,DISPAROS,PERSONAS,REFIERE QUE ESTAN EFECTUANDO DISPAROS A UNA PERSONA __MAS DE 7 PERSONAS .  NO SABE SI HAY HERIDOS .,GENERAL PUEYRREDON,MAR DEL PLATA,-38019231750409.0,-57601790787697.0,JTv,0,-38.019231750409,-57.601790787697,2026,8,August,5,16,2,Miércoles,False,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-05 16:44:00,10016458354,AV POLONIA al 1726,DISPAROS,PERSONAS,"LLAMANTE FEMENINA PIDE POLICIA, REFIERE QUE ESTARIAN AGREDIENDO AL MARIDO, QUE ESTAN A LOS TIROS , NO RESPONDE PIDE POLICIA",GENERAL PUEYRREDON,MAR DEL PLATA,-380189.0,-576011.0,JTv,0,-38.0189,-57.6011,2026,8,August,5,16,2,Miércoles,False,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-03 23:19:00,10016453563,VUELTA DE OBLIGADO y Los Manzanos,DISPAROS,PERSONAS,"LLAMANTE REFIERE QUE LOS VECINOS ESTAN EFECTUANDOSE DISPAROS ENTRE SI Y HAY UN HERIDO, NO SABE CUANTOS SON ",GENERAL PUEYRREDON,MAR DEL PLATA,-379406779984.0,-575582239992.0,V ACC-MC,0,-37.9406779984,-57.5582239992,2026,8,August,3,23,0,Lunes,False,Noche (18-24),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-03 14:44:00,10016452299,EDUARDO CARASA y Echeverria,DISPAROS,PERSONAS,"LLAMANTE COMUNICA QUE HUBO UN TIROTEO, HAY UNA PERSDONA TIRADA EN EL PISO, NO SABE SI HERIDO,__HAY UNO RETENIDO POR LOS VECINOS__NO SABE QUE PASO",GENERAL PUEYRREDON,,-380391109985.0,-575772139992.0,JTv,0,-38.0391109985,-57.5772139992,2026,8,August,3,14,0,Lunes,False,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-03 14:36:00,10016452279,EDUARDO CARASA y Echeverria,DISPAROS,PERSONAS,LLAMANTE REFIETE QUE HAY UNA PERSONA HERIDO DE BALA Y UNA PERSONA ARMADA. EN VIA PÚBLICA.,GENERAL PUEYRREDON,,-380391109985.0,-575772139992.0,0,0,-38.0391109985,-57.5772139992,2026,8,August,3,14,0,Lunes,False,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-02 14:26:00,10016449350,ISLA JOINVILLE al 1070,DISPAROS,PERSONAS,LLAMANTE REFIERE QUE PASO SU PAREJA Y LA VECINA SE LE RIÓ EN LA CARA. TIENEN DENUNCIAS PREVIAS. DESPUES SALIÓ OTRO VECINO DE ENFRENTE CON UNA AMETRALLADORA Y EFECTUÓ DISPAROS HACIA ELLOS. ADEMÁS TIENE OTRA AMETRALLADORA. NO HAY HERIDOS,GENERAL PUEYRREDON,MAR DEL PLATA,-37893136827608.0,-57532957012612.0,JTv,0,-37.893136827608,-57.532957012612,2026,8,August,2,14,6,Domingo,True,Tarde (12-18),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-02 09:38:00,10016448777,AV PEDRO LURO y Dr Ramon Carrillo,DISPAROS,PERSONAS,"REFIERE  OBSERVA 3 MOTOS 150   ESCUCHO DISPAROS, HAY UN MASC  25/30 AÑOS CAMPERON TURQUESA LARGO ADIDAS  HERIDO DE ARMA DE FUEGO .-  __SE ESTAN YENDO LAS 3 MOTOS POR CIUDAD DE ROSARIO EN DIRECCION A COLON .-  EN LA MOTO DEL HERIDO  VAN  DOS PERSONAS ",GENERAL PUEYRREDON,,-379579240913.0,-576266082591.0,JTv,0,-37.9579240913,-57.6266082591,2026,8,August,2,9,6,Domingo,True,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
2026-08-02 04:58:00,10016448268,SANTIAGO DEL ESTERO y Rodriguez Peña,DISPAROS,PERSONAS,"LLAMANTE REFIERE PASARON 3 CHICOS  A LOS TIROS, ESTABAN CORRIENDO A ALGUIEN.__ NO SABE SI HAY HERIDOS. __AHORA ESTAN SOBRE SANTIAGO DEL ESTERO. ",GENERAL PUEYRREDON,,-380127479984.0,-575561949992.0,JTv,0,-38.0127479984,-57.5561949992,2026,8,August,2,4,6,Domingo,True,Madrugada (00-06),[],,OTRA / NO ESPECIFICADA,DISPAROS_PERSONAS
