Fecha,ID,Dirección,Tipo,SubTipo,Relato,Partido asignado,Localidad asignada,Latitud,Longitud,Resultado,Comentario Cierre Supervisor,Latitud_Clean,Longitud_Clean,Año,Mes,Mes_Nombre,Dia,Hora,Dia_Semana_Num,Dia_Semana,Es_FinDeSemana,Franja_Horaria,Patentes_Extraidas,Patente_Principal,Marca_Detectada,Origen_Dataset
2026-01-01 02:28:00,10015634398,12 DE OCTUBRE al 9821,HALLAZGO,VEHICULAR,"LLAMANTE REFIERE QUE DEJARON TIRADA UNA MOTO Y CORTA LA LLAMADA , POSIBLE EMERGENCIA ",GENERAL PUEYRREDON,MAR DEL PLATA,-379996.0,-576037.0,,,-37.9996,-57.6037,2026,1,January,1,2,3,Jueves,False,Madrugada (00-06),[],,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 02:42:00,10015634559,DE LOS INMIGRANTES al 2033,HALLAZGO,VEHICULAR,"LLAMANTE REFIERE QUE HAY UN CORSA EN LA PUERTA DE SU CASA DESDE HORAS DE LA TARDE, NO ES DE NINGUN VECINO. PASARON DOS MOTOS Y LO ESTUVIERON MIRANDO. NO SABE SI LO ABANDONARON O QUE PASO. ES COLOR BLANCO PATNETE EIJ835.-",GENERAL PUEYRREDON,MAR DEL PLATA,-380243907914.0,-57599187943787.0,,,-38.0243907914,-57.599187943787,2026,1,January,1,2,3,Jueves,False,Madrugada (00-06),['EIJ835'],EIJ835,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 03:45:00,10015635273,GARAY y Hipolito Yrigoyen,HALLAZGO,VEHICULAR,LLAMANTE REFIERE QUE UN MASC SALIO DE UN AUTO CORRIENDO Y LO DEJO ENCENDIDO__AUTO GRIS__MASC DE CAMISA BLANCA CON UNA VENDA EN LA MANO DERECHA. __CORRIO PO HIRIGOYEN HACIA JUAN B JUSTO,GENERAL PUEYRREDON,MAR DEL PLATA,-380067599984.0,-575570149992.0,,,-38.0067599984,-57.5570149992,2026,1,January,1,3,3,Jueves,False,Madrugada (00-06),[],,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 07:56:00,10015637595,CERRETI al 2200,HALLAZGO,VEHICULAR,"REFIERE QUE DEJARON UN AUTO ABANDONADO EN LA PUERTA DEL DDO, ES GRIS  PATENTE AB864FA, VIO QUE LO DEJO UN MASCULINO ESTA  ABIERTO ",GENERAL PUEYRREDON,MAR DEL PLATA,-38021239374163.0,-57606288669234.0,,,-38.021239374163,-57.606288669234,2026,1,January,1,7,3,Jueves,False,Mañana (06-12),['AB864FA'],AB864FA,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 09:13:00,52998856,TRIPULANTES DEL FOURNIER y Rep De Cuba,HALLAZGO,VEHICULAR,EMPRESA STOP CAR __LLAMANTE REFIERE QUE HAY UNA MOTO HOMDA GLH NEGRA PAT A 159 WMZ / FUE ROBADA HACE 20 MIN / LE FIGURA DENTRO DE UNA FINCA  / PIDE APOYO POLICIAL ES UN ASENTAMENTO / MOVIL ESPERA EN LA ESQUINA [Id.Remoto: 52998856],GENERAL PUEYRREDON,MAR DEL PLATA,-380219039985.0,-575949079992.0,,,-38.0219039985,-57.5949079992,2026,1,January,1,9,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 09:47:00,52999402,TRIPULANTES DEL FOURNIER y Rep De Cuba,HALLAZGO,VEHICULAR,"STOP CAR __MOTO ROBADA A MANO ARMADA  SE ENCUENTRA EN EL LUGAR, HONDA GLH COLOR NEGRA , PATENTE A159WMZ [Id.Remoto: 52999402]",GENERAL PUEYRREDON,MAR DEL PLATA,-380219039985.0,-575949079992.0,,,-38.0219039985,-57.5949079992,2026,1,January,1,9,3,Jueves,False,Mañana (06-12),['A159WMZ'],A159WMZ,HONDA,HALLAZGO_AUTOMOTOR
2026-01-01 09:58:00,10015638174,S/D,HALLAZGO,VEHICULAR," REFIERE QUE  HAY UN AUTO ABANDONADO AL COSTADO DE LA RUTA, PATENTE  LPJ 563 ES UN GOL BLANCO, ESTA ABIERTO- ",GENERAL PUEYRREDON,CHAPADMALAL,-381287.0,-576055.0,,,-38.1287,-57.6055,2026,1,January,1,9,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 10:40:00,10015638296,BELGRANO y Tierra Del Fuego,HALLAZGO,VEHICULAR,"LLAMANTE CCA QUE HAY UNA CAMIOENTA TIPO SAVEIRO , BLANCA , CON LOS VIDRIOS BAJOS DESDE AYER - NO TIENE PATENTE ",GENERAL PUEYRREDON,MAR DEL PLATA,-379857419985.0,-575784379992.0,,,-37.9857419985,-57.5784379992,2026,1,January,1,10,3,Jueves,False,Mañana (06-12),[],,OTRA / NO ESPECIFICADA,HALLAZGO_AUTOMOTOR
2026-01-01 11:02:00,10015638369,AV ABEL al 16,HALLAZGO,VEHICULAR,"LLAMANTE REFIERE QUE HAY UN AUTO ESTACIONADO QUE NO ES DEL BARRIO DESDE AYER, ES UNA PEUGEOT PARTNER GRIS TOPO DOMINIO NHI921",GENERAL PUEYRREDON,SIERRA DE LOS PADRES,-379433.0,-577795.0,,,-37.9433,,2026,1,January,1,11,3,Jueves,False,Mañana (06-12),['NHI921'],NHI921,PEUGEOT,HALLAZGO_AUTOMOTOR
2026-01-01 15:37:00,10015639526,SAN SALVADOR y Bragado,HALLAZGO,VEHICULAR,"LLAMANTE INFORMA QUE AYER LE ROBARON EL AUTO,LO DENUNCIO,  Y LE PARECE HABERLO VISTO AHORA . ESTA DETENIDO, CHEVROLET ONIX GRIS, LA PATENTE ES AC057XK PERO TENIA OTRA PATENTE QUE EMPIEZA AB , EN EL PARABRISAS TIENE UNA VTV Y UNA DE ENERGAS, UN SOLO VIDRIO SIN POLARIZAR TAL COMO TENIA LLAMANTE.- ",GENERAL PUEYRREDON,MAR DEL PLATA,-379965879985.0,-576198349992.0,,,-37.9965879985,-57.6198349992,2026,1,January,1,15,3,Jueves,False,Tarde (12-18),['AC057XK'],AC057XK,CHEVROLET,HALLAZGO_AUTOMOTOR
