"ID Renabap","Nombre del barrio","Cantidad de familias que viven en el barrio","Año de creación del barrio","Década de creación del barrio","Tipología barrial","Situación dominial","Situación predominante sobre la conexión a la energía eléctrica ","Situación predominante sobre la conexión a la red cloacal","Situación predominante sobre la conexión a la red de agua","Situación predominante sobre la conexión a la red de gas","wkt","Código de provincia","Nombre de provincia","Código de departamento","Nombre de departamento","Código de radio","Nombre de radio","Superficie en km2","Latitud del centroide","Longitud del centroide","Geometría en WKT"
4417,"Alvear III",55,2011,"Década 2010","Asentamiento","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.780669956022 -34.491755314382, -58.781200425207 -34.491016877163, -58.781563463315 -34.490139669529, -58.781211988644 -34.489976974673, -58.781409239349 -34.489743016782, -58.781667291983 -34.489852275102, -58.781911253653 -34.48911272585, -58.782135843875 -34.48914858425, -58.781986448286 -34.489657806293, -58.781878079345 -34.490057504725, -58.781484010468 -34.491053936027, -58.781146237145 -34.491645039342, -58.782210778157 -34.492215979073, -58.782028245659 -34.492459858802, -58.780887405684 -34.491866655252, -58.780487073206 -34.492414151867, -58.781128086503 -34.49276591409, -58.780858631552 -34.493120884684, -58.780585498518 -34.492983962368, -58.780364899726 -34.493272553938, -58.780010735883 -34.493075706608, -58.780064519307 -34.492598109809, -58.780217249315 -34.492385502696, -58.7796920691 -34.492101150978, -58.780108352797 -34.491565468081, -58.779837284343 -34.491397663801, -58.780037358678 -34.491149184385, -58.780463323391 -34.49134925872, -58.780305200126 -34.491568695087, -58.780669956022 -34.491755314382))","06","Buenos Aires","06412","José C. Paz","064120111","",0.0269558526519,-34.491645,-58.780913,"POLYGON((-58.780669 -34.491755,-58.781200 -34.491016,-58.781563 -34.490139,-58.781211 -34.489976,-58.781409 -34.489743,-58.781667 -34.489852,-58.781911 -34.489112,-58.782135 -34.489148,-58.781986 -34.489657,-58.781878 -34.490057,-58.781484 -34.491053,-58.781146 -34.491645,-58.782210 -34.492215,-58.782028 -34.492459,-58.780887 -34.491866,-58.780487 -34.492414,-58.781128 -34.492765,-58.780858 -34.493120,-58.780585 -34.492983,-58.780364 -34.493272,-58.780010 -34.493075,-58.780064 -34.492598,-58.780217 -34.492385,-58.779692 -34.492101,-58.780108 -34.491565,-58.779837 -34.491397,-58.780037 -34.491149,-58.780463 -34.491349,-58.780305 -34.491568,-58.780669 -34.491755))"
651,"Lido",176,0,"Década 1980","Asentamiento","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.756213779088 -34.501639817424, -58.755737727836 -34.502259808895, -58.756320935307 -34.502568204861, -58.756469534447 -34.502382486791, -58.757127148851 -34.502719895264, -58.756804946825 -34.503138323514, -58.75595848346 -34.502707999619, -58.755617792377 -34.503161232788, -58.754927801688 -34.502798113869, -58.755446909589 -34.502134818784, -58.754461947238 -34.501621270372, -58.754957267228 -34.50102030043, -58.75498140455 -34.500979313751, -58.755043161429 -34.50087444651, -58.755410856326 -34.500417103565, -58.756022360402 -34.50072041624, -58.755920506884 -34.500854115259, -58.757342948618 -34.501645745155, -58.757030212824 -34.502077380931, -58.756213779088 -34.501639817424))","06","Buenos Aires","06412","José C. Paz","064120206","",0.03667332597342,-34.501806,-58.755826,"POLYGON((-58.756213 -34.501639,-58.755737 -34.502259,-58.756320 -34.502568,-58.756469 -34.502382,-58.757127 -34.502719,-58.756804 -34.503138,-58.755958 -34.502707,-58.755617 -34.503161,-58.754927 -34.502798,-58.755446 -34.502134,-58.754461 -34.501621,-58.754957 -34.501020,-58.754981 -34.500979,-58.755043 -34.500874,-58.755410 -34.500417,-58.756022 -34.500720,-58.755920 -34.500854,-58.757342 -34.501645,-58.757030 -34.502077,-58.756213 -34.501639))"
1382,"Provincias Unidas",88,0,"Década 2000","Villa","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.753982953931 -34.502202420808, -58.753350047742 -34.501883476983, -58.753809026665 -34.501300204041, -58.753818192556 -34.501143203096, -58.753886361167 -34.501023908926, -58.75413212544 -34.50059959943, -58.755096009181 -34.49926466792, -58.755986105025 -34.499701590333, -58.755043161429 -34.50087444651, -58.754957267228 -34.50102030043, -58.753982953931 -34.502202420808))","06","Buenos Aires","06412","José C. Paz","064120207","",0.02777937968054,-34.500682,-58.754654,"POLYGON((-58.753982 -34.502202,-58.753350 -34.501883,-58.753809 -34.501300,-58.753818 -34.501143,-58.753886 -34.501023,-58.754132 -34.500599,-58.755096 -34.499264,-58.755986 -34.499701,-58.755043 -34.500874,-58.754957 -34.501020,-58.753982 -34.502202))"
1539,"Aguas Claras",88,0,"Década 1980","Asentamiento","NO","Conexión a la red con medidor comunitario","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo comunitaria","Gas en garrafa","POLYGON((-58.74637889013 -34.506270472208, -58.745527236518 -34.507344400303, -58.744496229311 -34.506810516874, -58.744770225533 -34.506428200375, -58.744353006215 -34.506211017444, -58.744586132052 -34.505872561992, -58.744669807758 -34.505909076169, -58.744994364974 -34.505509663549, -58.74637889013 -34.506270472208))","06","Buenos Aires","06412","José C. Paz","064120302","",0.02046046038241,-34.506417,-58.745316,"POLYGON((-58.746378 -34.506270,-58.745527 -34.507344,-58.744496 -34.506810,-58.744770 -34.506428,-58.744353 -34.506211,-58.744586 -34.505872,-58.744669 -34.505909,-58.744994 -34.505509,-58.746378 -34.506270))"
4544,"Potosí y Florencio Ballesteros",17,0,"Década 2000","Villa","NO","Conexión irregular a la red","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.779216751239 -34.526933702107, -58.778841980018 -34.527259576139, -58.778490048931 -34.527962151544, -58.778126858623 -34.528380029498, -58.778104018488 -34.528369735353, -58.778126215239 -34.52828545204, -58.778834902793 -34.526709482758, -58.779216751239 -34.526933702107))","06","Buenos Aires","06412","José C. Paz","064120706","",0.00401377435039,-34.527411,-58.77866,"POLYGON((-58.779216 -34.526933,-58.778841 -34.527259,-58.778490 -34.527962,-58.778126 -34.528380,-58.778104 -34.528369,-58.778126 -34.528285,-58.778834 -34.526709,-58.779216 -34.526933))"
67,"11 de Septiembre y Bruguetti",51,2011,"Década 2010","Asentamiento","NO","Conexión regular a la red con medidor prepago","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.773101266065 -34.509263895801, -58.773737251002 -34.509602893479, -58.773746150744 -34.509652583254, -58.773027751774 -34.510580546452, -58.77236689387 -34.510207879641, -58.773101266065 -34.509263895801))","06","Buenos Aires","06412","José C. Paz","064120805","",0.0091888738702,-34.509919,-58.773067,"POLYGON((-58.773101 -34.509263,-58.773737 -34.509602,-58.773746 -34.509652,-58.773027 -34.510580,-58.772366 -34.510207,-58.773101 -34.509263))"
386,"Alberdi",193,0,"Década 1990","Asentamiento","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","MULTIPOLYGON(((-58.770795693495 -34.50787536225, -58.770008313086 -34.508918397798, -58.769850867257 -34.508879441625, -58.768494009867 -34.508127454526, -58.769274901676 -34.507100157845, -58.770795693495 -34.50787536225)), ((-58.771512746767 -34.509736579255, -58.77069515808 -34.51079000841, -58.769223125734 -34.510032716543, -58.769145692925 -34.509937050468, -58.769902979529 -34.50898384472, -58.770034468769 -34.50898065193, -58.770278120567 -34.509104414868, -58.771512746767 -34.509736579255)))","06","Buenos Aires","06412","José C. Paz","064120805","",0.04613978812724,-34.508957,-58.769987,"MULTIPOLYGON(((-58.770795 -34.507875,-58.770008 -34.508918,-58.769850 -34.508879,-58.768494 -34.508127,-58.769274 -34.507100,-58.770795 -34.507875)),((-58.771512 -34.509736,-58.770695 -34.510790,-58.769223 -34.510032,-58.769145 -34.509937,-58.769902 -34.508983,-58.770034 -34.508980,-58.770278 -34.509104,-58.771512 -34.509736)))"
1564,"Sol y Verde II",1210,0,"Década 1930","Asentamiento","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.815540685672 -34.498168992831, -58.813824991798 -34.496984559156, -58.812523866388 -34.496081538033, -58.813048075057 -34.495546300064, -58.813857095796 -34.494706245461, -58.810355840331 -34.49234898789, -58.808814470405 -34.493933802987, -58.807558917419 -34.493074484896, -58.808578073903 -34.492043751332, -58.80729733267 -34.491219259972, -58.807829618 -34.490685122, -58.806625281944 -34.489855683234, -58.803538084 -34.493096700346, -58.802188719524 -34.492186438363, -58.808795214 -34.485423429, -58.811209202 -34.482876474, -58.812253679473 -34.48184039008, -58.81243702897 -34.482095795216, -58.81244795662 -34.482398762446, -58.812397077329 -34.482939060219, -58.81242704106 -34.483097439941, -58.812379955197 -34.483439882581, -58.812238697607 -34.483785178911, -58.812076037353 -34.483912168057, -58.811870571769 -34.483996351873, -58.811583776057 -34.484051998802, -58.811445236 -34.484203023, -58.811606169 -34.484760167, -58.811574503623 -34.485133345228, -58.811090087917 -34.485807017335, -58.811208515997 -34.48608810567, -58.811361188341 -34.486156594198, -58.811633715609 -34.486255046457, -58.81183490066 -34.486526146881, -58.812031805179 -34.486845760012, -58.812056061532 -34.487081189328, -58.812128774 -34.487400394, -58.812409918928 -34.48777606252, -58.812475553767 -34.488020052901, -58.812613957668 -34.488535143707, -58.812847960139 -34.488866171593, -58.813110546429 -34.489199336923, -58.813374465699 -34.490210258957, -58.813440100539 -34.490341528636, -58.813546850895 -34.490458046334, -58.813582784972 -34.490598360617, -58.813460076359 -34.490783850381, -58.813481479024 -34.490996450187, -58.81367410301 -34.491277538521, -58.813909921 -34.491607715, -58.81411499791 -34.49173127502, -58.814246267589 -34.491886801053, -58.81437182989 -34.492117949835, -58.814444598951 -34.492397611325, -58.814428903664 -34.492528881004, -58.814573642 -34.492717727, -58.814941140781 -34.493061093942, -58.815065276238 -34.493049679187, -58.815182277473 -34.49297833697, -58.815349218261 -34.49290271422, -58.81545959033 -34.492930792023, -58.815594635487 -34.492995459102, -58.81568452668 -34.493135289847, -58.815864309066 -34.493593306879, -58.815731612543 -34.493900078411, -58.81576014943 -34.494012799114, -58.815874296977 -34.494111251373, -58.816022688788 -34.494119812439, -58.816370838806 -34.494114105062, -58.816496401107 -34.494174032524, -58.816687598248 -34.494436571882, -58.817204115898 -34.494813258787, -58.817595071246 -34.494930260022, -58.819195990592 -34.496028930161, -58.81947850577 -34.496255798411, -58.819589799628 -34.496409897599, -58.819600500961 -34.496516910924, -58.819538433232 -34.496598241051, -58.819410017242 -34.496685991978, -58.819356510579 -34.496786584504, -58.819341528714 -34.496983489022, -58.815540685672 -34.498168992831))","06","Buenos Aires","06412","José C. Paz","064120907","",0.79880951416996,-34.491006,-58.81115,"POLYGON((-58.815540 -34.498168,-58.813824 -34.496984,-58.812523 -34.496081,-58.813048 -34.495546,-58.813857 -34.494706,-58.810355 -34.492348,-58.808814 -34.493933,-58.807558 -34.493074,-58.808578 -34.492043,-58.807297 -34.491219,-58.807829 -34.490685,-58.806625 -34.489855,-58.803538 -34.493096,-58.802188 -34.492186,-58.808795 -34.485423,-58.811209 -34.482876,-58.812253 -34.481840,-58.812437 -34.482095,-58.812447 -34.482398,-58.812397 -34.482939,-58.812427 -34.483097,-58.812379 -34.483439,-58.812238 -34.483785,-58.812076 -34.483912,-58.811870 -34.483996,-58.811583 -34.484051,-58.811445 -34.484203,-58.811606 -34.484760,-58.811574 -34.485133,-58.811090 -34.485807,-58.811208 -34.486088,-58.811361 -34.486156,-58.811633 -34.486255,-58.811834 -34.486526,-58.812031 -34.486845,-58.812056 -34.487081,-58.812128 -34.487400,-58.812409 -34.487776,-58.812475 -34.488020,-58.812613 -34.488535,-58.812847 -34.488866,-58.813110 -34.489199,-58.813374 -34.490210,-58.813440 -34.490341,-58.813546 -34.490458,-58.813582 -34.490598,-58.813460 -34.490783,-58.813481 -34.490996,-58.813674 -34.491277,-58.813909 -34.491607,-58.814114 -34.491731,-58.814246 -34.491886,-58.814371 -34.492117,-58.814444 -34.492397,-58.814428 -34.492528,-58.814573 -34.492717,-58.814941 -34.493061,-58.815065 -34.493049,-58.815182 -34.492978,-58.815349 -34.492902,-58.815459 -34.492930,-58.815594 -34.492995,-58.815684 -34.493135,-58.815864 -34.493593,-58.815731 -34.493900,-58.815760 -34.494012,-58.815874 -34.494111,-58.816022 -34.494119,-58.816370 -34.494114,-58.816496 -34.494174,-58.816687 -34.494436,-58.817204 -34.494813,-58.817595 -34.494930,-58.819195 -34.496028,-58.819478 -34.496255,-58.819589 -34.496409,-58.819600 -34.496516,-58.819538 -34.496598,-58.819410 -34.496685,-58.819356 -34.496786,-58.819341 -34.496983,-58.815540 -34.498168))"
50,"Urquiza",112,0,"Década 1990","Asentamiento","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","MULTIPOLYGON(((-58.815502961911 -34.50280983698, -58.815548286499 -34.502924542223, -58.8155186 -34.5029296, -58.815053500932 -34.503108871499, -58.814906308382 -34.503276665845, -58.813898736267 -34.504299780292, -58.813333443102 -34.504459768924, -58.813109459018 -34.503905141668, -58.813013675055 -34.503682971748, -58.812979348813 -34.503498374077, -58.814411310541 -34.503097547127, -58.815502961911 -34.50280983698)), ((-58.805794 -34.505542, -58.805792093274 -34.505431298882, -58.80876192803 -34.502396557355, -58.808821061155 -34.502438527163, -58.8094424 -34.5033147, -58.8097616 -34.5032417, -58.810729592627 -34.504177593789, -58.805794 -34.505542)))","06","Buenos Aires","06412","José C. Paz","064120911","",0.07545721511287,-34.503977,-58.80958,"MULTIPOLYGON(((-58.815502 -34.502809,-58.815548 -34.502924,-58.815518 -34.502929,-58.815053 -34.503108,-58.814906 -34.503276,-58.813898 -34.504299,-58.813333 -34.504459,-58.813109 -34.503905,-58.813013 -34.503682,-58.812979 -34.503498,-58.814411 -34.503097,-58.815502 -34.502809)),((-58.805794 -34.505542,-58.805792 -34.505431,-58.808761 -34.502396,-58.808821 -34.502438,-58.809442 -34.503314,-58.809761 -34.503241,-58.810729 -34.504177,-58.805794 -34.505542)))"
621,"Nestor Kirchner",50,0,"Década 2000","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","MULTIPOLYGON(((-58.808757663271 -34.50069808149, -58.808251793989 -34.501202550886, -58.807948243344 -34.500995548965, -58.808172899526 -34.500789345803, -58.808704724832 -34.500589853304, -58.808758831341 -34.500637933475, -58.808757663271 -34.50069808149)), ((-58.810519320372 -34.499979083835, -58.811604431678 -34.499629260289, -58.811654977687 -34.499714500315, -58.811471790958 -34.499844598591, -58.811103249242 -34.500195397711, -58.811258311188 -34.500586441536, -58.811260620809 -34.500604425687, -58.811252496382 -34.500620291724, -58.811236542911 -34.500641925273, -58.810782022435 -34.500765612687, -58.810687416361 -34.500550054951, -58.810630871757 -34.500608422203, -58.810381190837 -34.500916543048, -58.809640659686 -34.500405638647, -58.81057409997 -34.500081378472, -58.810519320372 -34.499979083835)))","06","Buenos Aires","06412","José C. Paz","064120911","",0.01256342822172,-34.500417,-58.810269,"MULTIPOLYGON(((-58.808757 -34.500698,-58.808251 -34.501202,-58.807948 -34.500995,-58.808172 -34.500789,-58.808704 -34.500589,-58.808758 -34.500637,-58.808757 -34.500698)),((-58.810519 -34.499979,-58.811604 -34.499629,-58.811654 -34.499714,-58.811471 -34.499844,-58.811103 -34.500195,-58.811258 -34.500586,-58.811260 -34.500604,-58.811252 -34.500620,-58.811236 -34.500641,-58.810782 -34.500765,-58.810687 -34.500550,-58.810630 -34.500608,-58.810381 -34.500916,-58.809640 -34.500405,-58.810574 -34.500081,-58.810519 -34.499979)))"
